,date,location,position,rating,employee_type,title,pros,cons,recommander,approbation du pdg,perspective commerciale,employment_duration,group,grade,grade_hierarchical,sous_theme_pro: Autonomie et liberté d’action / confiance,sous_theme_con: Autonomie et liberté d’action / confiance,sous_theme_pro: Travail stimulant/ satisfaction dans le travail/ sens du travail / motivation,sous_theme_con: Travail stimulant/ satisfaction dans le travail/ sens du travail / motivation,sous_theme_pro: Opportunité de développement professionnel,sous_theme_con: Opportunité de développement professionnel,sous_theme_pro: Ambiance et collaboration en équipe / appartenance à l’entreprise,sous_theme_con: Ambiance et collaboration en équipe / appartenance à l’entreprise,sous_theme_pro: Bienveillance managériale et reconnaissance / qualité de l’encadrement,sous_theme_con: Bienveillance managériale et reconnaissance / qualité de l’encadrement,sous_theme_pro: Outils et infrastructures,sous_theme_con: Outils et infrastructures,sous_theme_pro: Flexibilité,sous_theme_con: Flexibilité,sous_theme_pro: Equilibre vie privée - vie professionnelle,sous_theme_con: Equilibre vie privée - vie professionnelle,sous_theme_pro: Charge de travail / travail stressant,sous_theme_con: Charge de travail / travail stressant,sous_theme_pro: Aspect financier,sous_theme_con: Aspect financier,theme_pro: Contenu et exécution du travail,theme_con: Contenu et exécution du travail,theme_pro: Environnement de travail,theme_con: Environnement de travail,theme_pro: Aménagement du travail,theme_con: Aménagement du travail,theme_pro: Aspect financier,theme_con: Aspect financier,source
0,2023-07-22,Paris,Risk Advisory,2,"Ancien employé, moins d'un an",A fuir,Tickets restau et transport à 50%,Trop peu de considération pour les CDD,-1,0,-1,0.5,1,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,deloitte
1,2023-11-20,Marseille,Senior Consultant 2,4,"Employé actuel, plus d'un an",Une bonne entreprise mais difficile,Bureau agréable et bon salaire,"""Charge de travail élevée, attribution de mission incertaine""",0,0,0,2,1,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,2,1,0,deloitte
2,2021-02-19,Paris,Assistant Manager,4,"Ancien intérimaire, moins d'un an","""Excellente entreprise pour construire votre crédibilité et vos compétences en services financiers, conseil, et sens des affaires""",Vous avez la chance de travailler avec une équipe solide de personnes talentueuses. La rémunération est correcte et les heures de travail sont équitables.,Peu d'opportunités de coaching ou de développement de carrière,1,1,1,0.5,2,Manager,Senior,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,deloitte
3,2021-01-27,Paris,Senior Consultant,3,Employé actuel,Senior Consultant,"Formation, exposition au sein du département, évolution rapide","Politique, bureaucratique, négociation permanente, silos",-1,0,0,,3,Unknown,Unknown,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,deloitte
4,2022-03-27,Paris,Auditeur IT/Consultant en données,3,"Employé actuel, plus d'un an",Grosse charge de travail,Monter en compétence très rapidement. Formateur,Salaire; Charge de travail ; Vacances imposés,1,-1,-1,2,3,Unknown,Unknown,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,deloitte
5,2023-10-03,Paris,Auditor,4,Ancien stagiaire,Belle expérience,Divers secteurs de clients rendent le travail plus intéressant.,Saison de forte activité une fois par an,0,0,0,,3,Unknown,Unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,deloitte
6,2021-10-14,Paris,Senior Credit Risk Analyst,4,"Ancien employé, plus de 3&nbsp;ans",bon,"Big 4, bonne expertise et connaissance des pratiques du marché.",Je n'ai pas de points négatifs spécifiques à souligner,1,1,1,4,3,Analyst,Junior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,deloitte
7,2020-12-15,Paris,Financial Auditor Intern,5,"Ancien stagiaire, moins d'un an",Missions d'audit légal pour des entreprises françaises,"Super endroit où travailler, belle progression en seulement 6 mois, travail d'équipe.",je n'ai pas eu le temps d'approfondir mes connaissances sur les entreprises,1,0,1,0.5,3,Unknown,Unknown,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,deloitte
8,2023-09-10,Paris,Consultant,1,"Employé actuel, plus d'un an",Culture toxique,Apart le nom Deloitte sur votre CV rien du tout,"Culture toxique, management toxique et j’en passe. Je tiens le coup pour faire 18mois d’expérience et c’est sauve qui peut",0,-1,0,2,3,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,deloitte
9,2023-01-30,"Bordeaux, Nouvelle-Aquitaine",account junior,5,Ancien stagiaire,Revue de stage,Vous obtenez une grande expérience.,Beaucoup de travail et beaucoup de temps,0,0,0,,3,Unknown,Unknown,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,2,0,0,deloitte
